"IDSCHOOL","IDTEACH","TT3G01","TCHAGEGR","T3JOBSA","T3WLOAD","T3SELF","SCHLOC","T3PLACRE"
"3001","300101","1","6",14.9369164200495,11.978054554173,15.5092644957646,"2","1"
"3001","300102","2","6",11.7856884548979,9.08694006501917,12.2258719937154,"2","1"
"3001","300103","1","5",13.767235334356,9.00177545216037,11.2662537037369,"2","1"
"3001","300104","2","5",13.6116905942305,6.36615480158288,13.6396679210356,"2","1"
"3001","300105","1","5",15.1262343951665,5.9649846515375,15.5092644957646,"2","1"
"3001","300106","1","4",12.7164649701717,11.7023901493933,13.5030482431509,"2","1"
"3001","300107","2","5",11.3765303042273,9.2483045946464,13.519191438694,"2","1"
"3001","300108","1","5",11.5641735452372,11.4244845705909,15.5092644957646,"2","1"
"3001","300109","2","4",NA,NA,NA,"2","1"
"3001","300110","2","5",12.1989757718429,8.81799918230718,11.2662537037369,"2","1"
"3001","300111","1","5",14.9369164200495,5.9649846515375,13.5012444371768,"2","1"
"3001","300112","1","5",15.1262343951665,9.2102046362622,12.4611192738282,"2","1"
"3001","300113","1","4",14.714113633007,5.9649846515375,12.3126911294207,"2","1"
"3001","300114","1","4",14.6616975170807,6.0882492227805,12.5135724498962,"2","1"
"3001","300115","1","4",14.0388612753671,9.08694006501917,12.6669891543311,"2","1"
"3001","300116","2","4",12.6934044998964,6.21375496804609,11.4723176336183,"2","1"
"3001","300117","1","5",11.3765303042273,9.362604469799,11.2662537037369,"2","1"
"3001","300118","1","4",11.6182643952706,11.7315254116871,10.6275802909241,"2","1"
"3001","300119","1","3",11.3092722573104,6.27202549263369,10.2163011454944,"2","1"
"3001","300120","2","3",13.1122139263677,5.9649846515375,14.8394722294838,"2","1"
"3002","300201","1","6",6.72747142295494,7.92601192131242,12.5500897578239,"2","1"
"3002","300202","1","4",13.6657814442639,11.5768844041277,12.7425870343478,"2","1"
"3002","300203","1","3",9.69902092052117,8.97264018986657,13.7789865221562,"2","1"
"3002","300204","1","4",13.4227477075698,5.9649846515375,11.655047123711,"2","1"
"3002","300205","1","5",13.3015319014847,8.4571701646686,11.2662537037369,"2","1"
"3002","300206","1","5",9.94075501156448,11.7023901493933,12.7246827050674,"2","1"
"3002","300207","1","6",10.3093763658105,9.8780744949969,12.4377974460108,"2","1"
"3002","300208","2","3",10.0847892903337,10.1985623802287,13.0341871190161,"2","1"
"3002","300209","1","4",11.766757150897,9.5306925214939,13.244338510341,"2","1"
"3002","300210","1","4",11.3765303042273,7.43071246231784,11.6035421631651,"2","1"
"3002","300211","1","4",11.4517648928378,9.12504002340337,14.9250083842707,"2","1"
"3002","300212","1","4",11.7869881005487,8.97264018986657,14.9963734917992,"2","1"
"3002","300213","1","6",11.766757150897,9.362604469799,12.9061409175989,"2","1"
"3002","300214","1","5",11.5439543638546,5.9649846515375,13.4859904961909,"2","1"
"3002","300215","1","6",15.1262343951665,11.4244845705909,15.5092644957646,"2","1"
"3002","300216","2","4",9.11947609873445,6.93989535136846,11.9513442089153,"2","1"
"3002","300217","2","4",11.1872123291103,11.7023901493933,12.9901572391855,"2","1"
"3002","300218","1","5",11.408727238771,9.15417528569716,14.7549684908285,"2","1"
"3002","300219","1","5",12.5462113899208,9.362604469799,13.0065216388343,"2","1"
"3002","300220","1","5",10.9656974194496,10.2837269930875,11.2662537037369,"2","1"
"3003","300301","2","4",12.6463774026311,6.1173844850743,12.5865344945267,"2","1"
"3003","300302","1","4",11.1872123291103,9.6405100486013,11.3548004501287,"2","1"
"3003","300303","2","5",11.1537275171848,11.4334492666813,12.3541571811391,"2","1"
"3003","300304","2","4",10.8904628308391,9.362604469799,11.2329205701973,"2","1"
"3003","300305","2","4",9.14548013241761,9.12504002340337,12.3065875855146,"2","1"
"3003","300306","1","6",11.1537275171848,11.85478998293,11.2861802123369,"2","1"
"3003","300307","2","6",9.61895276659718,12.7759125062186,12.8333480608112,"2","1"
"3003","300308","1","5",12.2896353678869,9.9363450195845,14.0840281052274,"2","1"
"3003","300309","1","4",11.3765303042273,8.97264018986657,9.59105290634982,"2","1"
